Country Name,Year,Age dependency ratio (% of working-age population),"Agriculture, value added (% of GDP)","Agriculture, value added (annual % growth)","Agriculture, value added (constant 2005 US$)","Borrowers from commercial banks (per 1,000 adults)","Contributing family workers, female (% of female employment)","Contributing family workers, male (% of male employment)","Contributing family workers, total (% of total employment)",Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP)
Afghanistan,2000,103.326360073965,,,,,71.4240036010742,30.3470001220703,35.7360000610352,,
Afghanistan,2001,102.92777291639,,,,,73.4860000610352,31.2970008850098,36.9140014648438,,
Afghanistan,2002,102.153958897486,37.9388206159123,,3524250083.91464,,65.6699981689453,32.0190010070801,36.3639984130859,,
Afghanistan,2003,101.200485082543,36.8630576799203,2.79922332379998,3622901714.25262,,65.640998840332,26.6070003509521,31.8600006103516,,
Afghanistan,2004,100.159030259816,29.3911956273162,-22.2374972096684,2817259046.63666,,67.1360015869141,25.9829998016357,31.628999710083,,
Afghanistan,2005,99.0118309442354,30.7879670650336,17.6995562384091,3315901395.97778,,66.0830001831055,26.1499996185303,31.6509990692139,,
Afghanistan,2006,99.6320290466377,28.2897383137567,-5.10828004564108,3146515866.63392,,65.818000793457,25.2049999237061,30.7169990539551,-4.82409840880841,4.78431021448697
Afghanistan,2007,100.231023134586,29.7989655280121,14.6947633410373,3608888926.72396,,64.0849990844727,24.6270008087158,29.863000869751,0.535180550401165,6.77046094638147
Afghanistan,2008,100.656496083108,24.6938230129889,-14.9167175639132,3070561158.32921,3.37976801136197,64.2429962158203,23.4890003204346,28.8610000610352,4.92536006924705,9.31347877830488
Afghanistan,2009,100.740812582094,29.1359284351699,44.5654473278869,4438970474.01497,3.98351915777259,59.8839988708496,23.2399997711182,28.0030002593994,4.80105924295986,10.5257794820622
Afghanistan,2010,100.406411520766,26.0782527819623,-6.37380492600464,4156039155.27831,3.80232587604102,58.7719993591309,21.4340000152588,26.3419990539551,4.75724032266466,11.5168508675913
Afghanistan,2011,98.7307589652135,23.5779686892153,-7.59086467916443,3840559846.98805,3.66597788548973,58.2750015258789,20.8759994506836,25.9389991760254,-2.55927716083765,4.92457270669029
Afghanistan,2012,96.5285898367748,23.6436386470918,18.2247894194574,4540493791.62985,4.13750263311191,56.298999786377,20.238000869751,25.3050003051758,-1.92150072193017,4.33508142285659
Afghanistan,2013,94.0017341230591,22.587453161034,0.00517080272992132,4540728571.60678,3.76912673858008,56.4939994812012,19.6849994659424,25.0790004730225,-2.0588414783988,4.2965521843724
Afghanistan,2014,91.3762048564238,22.009298022763,-0.100457250332653,4536167080.53868,3.0250349722766,57.023998260498,19.625,25.3409996032715,-0.604475015844582,3.91831287893577
Afghanistan,2015,88.7687273393836,20.5469658803948,-5.65736076451711,4279539743.91134,2.95869751045318,57.882999420166,19.6340007781982,25.7199993133545,-0.409400141837299,3.96463786451499
Afghanistan,2016,86.5709321507136,20.9658976104561,5.97175068925613,4535103188.06536,3.05195383587665,58.0439987182617,19.7749996185303,26.0860004425049,-1.18049212834269,3.59847581413645
Australia,2000,49.7262042198822,3.12048409721287,6.71727116813823,20876030433.1583,,1.17200005054474,0.620999991893768,0.861999988555908,93.403105495705,87.7755875307744
Australia,2001,49.4259573676091,3.50485125559406,3.83619535132883,21676875742.1772,,0.723999977111816,0.451999992132187,0.572000026702881,92.3111001382019,88.6895636282114
Australia,2002,49.1583815653669,3.94963544989475,3.15563198624247,22360918166.7153,,0.589999973773956,0.370999991893768,0.467999994754791,99.2190327950866,91.5205351479502
Australia,2003,48.9255122425613,2.88973156072483,-21.6026228779417,17530373343.1147,,0.556999981403351,0.328999996185303,0.430999994277954,103.820874770128,99.4417870751198
Australia,2004,48.722095672655,3.06504769156548,25.5174369152254,22003675301.9474,,0.535000026226044,0.312999993562698,0.41100001335144,108.217423333046,103.073659452866
Australia,2005,48.5699231369882,2.88651894172911,4.28055116331601,22945553881.0572,,0.456000000238419,0.254000008106232,0.34400001168251,113.444891690627,108.914426617445
Australia,2006,48.2230973921689,2.72868148543917,2.85930900032491,23601638168.3527,,0.421000003814697,0.25,0.326999992132187,118.352639643387,114.042581395869
Australia,2007,47.9558743726157,2.20403724847831,-15.0389596714752,20052197322.4066,,0.361999988555908,0.224000006914139,0.28600001335144,146.602615504952,120.942478149133
Australia,2008,47.8347413991383,2.34176520769526,8.09295120061968,21675011866.361,,0.333000004291534,0.184000000357628,0.250999987125397,159.631476515448,122.116323855287
Australia,2009,47.8792309218863,2.2950770164873,17.0808610657265,25377290529.2338,,0.319000005722046,0.204999998211861,0.256999999284744,151.012279128051,122.813066334741
